protA	protB	interaction
P61981	Q775D8	NO
Q86WJ1-1	O60814	YES
Q6PJG9	Q775D7	NO
Q63ZW7	Q60857	YES
Q86WJ1-1	Q96NY8	NO
P01024	P08603	YES
Q13094	P11473	NO
Q5JVL4	Q9UKT9	YES
Q8C0V1-1	Q4AB30	NO
P48432	Q80Z64	YES
P83940	Q10173	NO
P52333	O95644	YES
P04909	P0A6B9	NO
A1ZAB3	Q7KN62	YES
P03347	O96028-1	NO
Q7Z3S9	P07510-2	YES
B2CML4	O26057	NO
P62805	Q9UER7-1	YES
Q15797	Q86WJ1-1	NO
O88447	P68619	YES
Q9D5L7	Q961D9	NO
Q9BXC9	P30935	YES
Q9W542	Q46898	NO
O95271	Q9HC77	YES
Q4LDX8	Q06159	NO
Q92547	P31749	YES
Q64702	O15234	NO
P36046	Q14061	YES
Q9NZN3	P63104	NO
P09803	O60716-29	YES
P54256-2	Q9H4M9	NO
Q5JVL4	Q04864	YES
Q8IX07	P69699	NO
Q5SPL2	Q9UBU8-2	YES
Q9Y2M5	Q9H3S7	NO
Q9Z305	P20810	YES
O89100	Q08231	NO
Q5SW96	P49951	YES
Q24564	Q96T58	NO
Q9H0P0-4	Q9UMX0-2	YES
Q9UBN7	Q14680	NO
P53350	O14965	YES
P11710	Q9UN19	NO
Q8VZJ1	P59226	YES
P49675	Q9H1Y0	NO
P53673	Q15654	YES
Q94AG2	Q8N5H7-2	NO
P11065	O34483	YES
P04626	P02545-2	NO
Q550R2	P34144	YES
Q9H1K1	P00533	NO
P17426	Q01097	YES
A2AM67	Q9HD67	NO
Q96G27	Q9NZC7	YES
Q16665	Q5S007	NO
Q9BZD2	O43889-2	YES
P68510	Q9WTL8-4	NO
Q96DU3-2	P06239	YES
Q5EBH1	P0CG48	NO
O43521-3	Q92843	YES
P35609	O00255-2	NO
P45984-1	Q02248	YES
Q9UHB7	P41250	NO
P12004	Q9HCU8	YES
Q9CZD3	Q03111	NO
P19320	P61313	YES
P0CG48	Q92797	NO
O43847	P04637	YES
Q61152	Q09472	NO
P07274	P60010	YES
P00523	O60341	NO
O55057	Q92834-2	YES
Q5SW96	P27434	NO
P50222	O43707	YES
P38398	P27361	NO
P43686	O75832	YES
O75603	Q9NRF2	NO
Q13794	P10415-1	YES
P40014	Q3KK29	NO
Q00536	Q8ND76-1	YES
Q62599	P35908	NO
O15105	Q96PU5-5	YES
Q00944	Q6AI12	NO
Q04206	O60885	YES
Q9SII8	Q9CAJ0	NO
Q6VVB1	Q9WUA5	YES
P63159	P18206-2	NO
Q96KN7-4	Q92834	YES
P19320	P17735	NO
O15078	Q15051	YES
U5TQE9	Q7Z2E3-7	NO
Q9QWY8-2	P00523	YES
Q80W00	Q9FE20	NO
Q9UID3-1	O60499-1	YES
P40337	P60410	NO
P10276	Q9Y618	YES
P26039	Q8TBB1	NO
Q9Y247	P35609	YES
Q08379	Q86VP1-2	NO
Q13257	Q9Y6D9	YES
Q13616	P29083	NO
O35305	O35235-1	YES
Q22A77	P62492	NO
Q9Y297	Q76N32	YES
Q91YD9	C6KIE6	NO
P48059	O55222	YES
P45481	P38886	NO
Q16204	Q969H0	YES
Q9NQC7	Q183R6	NO
O54943	P97784	YES
P35236	Q24008	NO
P97836-5	Q9WV48-4	YES
P53064	P68036-1	NO
A0A0C4DFT7	O43765	YES
Q9C0D3	Q9NZC7	NO
P38987	P38285	YES
Q9FIP9	Q8IZQ1	NO
P97260	O15503-1	YES
Q9BYM8	P51587	NO
O00308	Q96B67	YES
Q9QZ88	P62937	NO
P03243-1	P29590	YES
P12931	Q99081-3	NO
P27636	P38987	YES
P25098	Q99741	NO
Q92843	P55957	YES
P21462	P06493	NO
O81472	Q39024	YES
P53350	O75154-1	NO
Q5S007	P07437	YES
Q9UQB8-4	P51809	NO
P00842	Q02776	YES
Q13563	P48510	NO
P10238	Q9UBU9	YES
Q02363	P55036	NO
O14757	P61981	YES
Q6ZWQ0-1	P33240	NO
Q9CR95	O08839	YES
Q5JR59-3	Q91XC0	NO
Q07817-1	P10909-4	YES
Q9NAN2	O35625-2	NO
P01834	P43629	YES
O43765	P22149	NO
Q6L545	Q7G7J6	YES
Q7ZWL0	Q9UHD2	NO
Q8N5S9	Q04917	YES
P26687	P46937	NO
O95402	P55199	YES
Q9NQS7	P15498	NO
Q96KN7	Q92834	YES
Q9UBU9	O43734-2	NO
O13016	P16591	YES
Q9BYV2	Q9Y618	NO
Q9Z2D6	O88895	YES
Q6VAB6-1	Q8WXH5	NO
Q89246	Q16531	YES
P29678	P62993	NO
Q62627	O88764	YES
P62937	P55036	NO
P63279	Q9Y4E5-1	YES
Q14678-2	Q53HL2	NO
P40337-3	Q16665	YES
O60333-3	P21912	NO
P07207	Q23985	YES
A6NFY7	Q96QZ7	NO
O00206	Q08857	YES
Q15645	O00560	NO
P29350	P62993	YES
Q9ES28-2	O14490	NO
Q9UKV8	Q9HCJ0	YES
Q9ERE7	P53040	NO
P21912	P31040	YES
O00481	P38862	NO
Q8IZQ1	P54253	YES
P63009	P40014	NO
O95402	O00268	YES
P43618	Q60838	NO
P01552	P42081-3	YES
Q7VL95	P0CG48	NO
Q5ZXA4	Q3KK31	YES
Q09472	Q9Y4K3	NO
Q64702	Q8WWL7	YES
Q8IYX7	P11279	NO
P21333	O95067	YES
P35609	P08669	NO
Q8NBW4	Q6IAA8	YES
O00571	Q8WXH0-1	NO
Q9UTE3	O14459	YES
Q00987	O75674	NO
P07948	Q913V3	YES
Q9H0F7-1	Q9Y705	NO
Q9NQS3-1	Q15223	YES
Q15046	Q96RD7	NO
P40014	P40460	YES
Q92793	Q9Y5W5	NO
Q8RWC9	Q8LAS7	YES
Q9H2K2	P98161-3	NO
P35193	P29295	YES
Q96PU5	P63261	NO
O49686	O04719	YES
Q9NV96	Q5S007	NO
Q9DGW5	Q5ZIZ6	YES
O43242	Q5EWX9	NO
Q15326	P03255	YES
A0JC82	A9XMT3	NO
Q3UMR0	Q8QZZ8	YES
P41136	Q9JIF3	NO
Q9JI18	Q80VC8	YES
Q9ULK5	P63244	NO
P04326	P51531	YES
P51141	Q99497	NO
Q9UKE5	P03230	YES
P43602	Q99836	NO
P61978-2	O14965	YES
Q60974	Q96QB1-1	NO
P49798	P59215	YES
Q9Y2I1	Q99732	NO
Q9H074	P11940	YES
Q921E6	P11940	NO
P19320	O43707	YES
Q16186	Q9BZS1	NO
Q86UW9	Q8NI60	YES
Q9Y4B6-3	P63165	NO
Q04477	P33895	YES
O00264	Q9BXS5	NO
P03372-1	Q92731	YES
P13726	Q9Z0G0	NO
Q676U5	Q9BXS4	YES
Q9UBF8-2	Q60841	NO
P69423	P69853	YES
O75161-1	P40482	NO
P18824	P35220	YES
P53674	Q13315	NO
P0AGE0	P17888	YES
Q95866	Q84MC7	NO
P16284	P42684	YES
P28795	P27467	NO
Q9Y2M5	Q13618	YES
P05106	Q9Y2H1	NO
Q12306	Q08204	YES
Q8NHQ1	Q9ZA65	NO
P10686	Q62120	YES
P06772	Q6P1J9	NO
Q9R194	O15534	YES
Q9SZN7	Q9HC52	NO
P13497	P01236	YES
P31946	O80920	NO
P19878	P14598	YES
P19524	P50570	NO
P21980	P40337	YES
Q9UHD1	P18011	NO
P78527	P11308-1	YES
O43707-1	Q08412	NO
P0DML2	O00233	YES
Q9QZS8-1	Q5JVL4	NO
P49799	Q8R173	YES
O35177	Q8IYF3-3	NO
Q9I8D1	P98078	YES
P01903	Q7CLS3	NO
Q53GL7	Q9Y530	YES
P03255	Q5ZIZ6	NO
Q13625	O95996	YES
O04719	Q9NYB0	NO
P16328	P0A1N2	YES
Q96EA4	Q9WTZ1	NO
P49257	Q8NI22	YES
P62993	P03372	NO
Q92569	Q8N2H9	YES
O75771	Q93062	NO
Q9BXC9	Q9H0F7	YES
Q14790	P33767	NO
Q9CQY1	Q9CPX6	YES
P55196	P09651	NO
Q9H9E3	Q8WVM8	YES
Q9NQS3	Q07666	NO
P28067	P01903	YES
P36068	Q9Y6W8	NO
O43633	Q9Y3E7-1	YES
P05783	Q8CGU4	NO
P53762	P97481	YES
P0AEF0	O43524	NO
Q9EQH3	Q9QZ88-1	YES
Q9NQG6	Q5JVL4	NO
P0CG53	Q92783	YES
Q92834	P16591	NO
P35908	Q6A162	YES
Q95RA8	P00533	NO
Q62599	O35615	YES
Q39083	O18407	NO
Q8UW33	Q5UMH8	YES
O22476	P50222	NO
Q8IWZ6	Q9H0F7	YES
Q8VHY0	B2XWS1	NO
Q9SUT5	P55737	YES
Q99759	Q80WJ7	NO
P35609	J3KMY6	YES
O60814	Q60857	NO
P02787	Q30201	YES
Q86WJ1-1	Q63ZW7	NO
P54198	Q9Y294	YES
P70371	Q8K4B2	NO
P62258	Q14678-2	YES
O43196	P40855	NO
P02786	Q30201-1	YES
P15976-2	Q9V3G7	NO
Q9GZT9	Q16665	YES
Q9SII8	P19320	NO
O95166	P27797	YES
P18031	A6NFY7	NO
P04591	P18465	YES
Q9UPQ9	Q0VGT2	NO
P02538	F5H3M2	YES
Q9UQK1	Q5VW32	NO
Q9VA38	Q24564	YES
P19320	Q14160	NO
Q9Y618	Q96T58	YES
Q9UDY2	Q9Y230	NO
P53894	P24276	YES
Q9QZ88-1	Q8K4B2	NO
Q8CFI2	Q86VP1-2	YES
Q9NWZ3	O75436	NO
P50750	O60885-1	YES
P26022	Q8N5M1	NO
Q8IUX4	Q77YG0	YES
P06241	Q9Y6K9	NO
P84243	Q9UER7-1	YES
Q3U182	Q9H334	NO
Q62881	Q9JHX4	YES
P18754	C0H480	NO
Q9QZS8-1	O35177	YES
O00560	Q16832	NO
Q5JVL4	Q8IYF3-3	YES
Q09170	Q13542	NO
P61077	Q99PZ6	YES
P51814	Q71SY5	NO
P05783	Q14457	YES
Q8IZU0	P28700	NO
P50749	P01116	YES
Q99750	Q9FL28	NO
O35464-1	P70207	YES
A8HN58	Q9NRW3	NO
Q92569	Q5SXH7	YES
Q9UFD9	Q62910-1	NO
P07091	P56565	YES
Q99426	P21192	NO
Q79V61	Q79V60	YES
Q8WTS6	Q67XQ1	NO
Q8NBW4	Q9UHA4	YES
P19878	O94979	NO
P61619	P27824	YES
Q9NWZ3	Q96PC3	NO
P30622-2	Q15691	YES
P13382	O14980	NO
Q01831-1	P32780	YES
Q96DU3-2	O43521-3	NO
O95352-2	P04637	YES
O43889-2	P49683	NO
P02293	Q12306	YES
Q7NVC1	Q9HCJ0	NO
Q8N423	Q86XS5	YES
Q53EL6	P60896	NO
P25098	P21462	YES
P42345	P63005	NO
Q99741	P06493	YES
Q9Y5Q8	Q9GZM8	NO
V6BMM3	Q9A6J2	YES
Q9ULZ3	P0CY08	NO
P13746	P43632	YES
Q13094	Q9UMX0-2	NO
Q96J02	Q9H3D4	YES
Q9LYW5	Q9NRY6	NO
P35908	P13646	YES
Q12674	P42684	NO
Q8C4Q6-1	O35625-2	YES
P53740	Q9UIB8	NO
Q05062	Q9NAN2	YES
Q38912	Q9LD83	NO
Q00653	P63165	YES
P52919	Q9UKU9	NO
Q5JVL4	P15884	YES
P14291	Q13330	NO
Q99M15	Q61152	YES
Q08949	P70326	NO
P24385	Q5XUX0	YES
Q9Y248	O75886	NO
Q92621	Q6VGT1	YES
Q9H4M9	P58152	NO
P14242	P38920	YES
Q12830-4	P24385	NO
Q9Y276	O95202	YES
P24864	P32628	NO
Q91349	Q5EAX5	YES
O96017	P50851	NO
P03243-1	P29590-2	YES
P25445-1	Q07813-1	NO
P53894	P21192	YES
Q23973	O55042	NO
Q9UQC2-1	P62993-1	YES
Q5SW96	Q9H0P0-4	NO
Q07820	P55957	YES
Q8WXD9	P91682	NO
P33301	P21651	YES
Q61411	P19554	NO
P33891	P53847	YES
P06701	O60907-2	NO
P60010	P02829	YES
Q16665	P10636-8	NO
O75581	O94907	YES
P63041	O15151	NO
Q72497	P62937	YES
O00213	P10276	NO
P54727	P55036	YES
Q79PF5	Q24564	NO
P02829	P25638	YES
P69853	P35220	NO
Q99569-2	Q8N5M1	YES
P0AGE0	Q9MAA7	NO
Q9LKL2	Q6LA42	YES
Q77YG0	O25828	NO
P06756	P05556	YES
O95067	Q8WWL7	NO
P32780	P29083	YES
O55207-3	P62805	NO
O94888	Q13616	YES
P54132	P50481	NO
Q6RW13-2	Q9NVS9	YES
O75832	P49841	NO
Q9R0M6	Q8BPQ7-1	YES
P97465	Q15208	NO
P62805	Q71DI3	YES
Q67684	Q00081	NO
P33225	P36662	YES
Q94AH9	P23509	NO
Q72500	Q16531	YES
O60341-1	P43360	NO
Q9H0F6	Q96EP0	YES
P18031	P08151	NO
Q8TBB1	Q8N5M1	YES
P38991	P36107	NO
P60709	P40123	YES
O43752	Q9VKM1	NO
Q9NPI6	Q6P2E9	YES
Q9UKT5	P62835	NO
